TREE, MEAS, DAY, Y
1, 1,  118,  30
1, 2,  484,  58
1, 3,  664,  87
1, 4, 1004, 115
1, 5, 1231, 120
1, 6, 1372, 142
1, 7, 1582, 145
2, 1,  118,  33
2, 2,  484,  69
2, 3,  664, 111
2, 4, 1004, 156
2, 5, 1231, 172
2, 6, 1372, 203
2, 7, 1582, 203
3, 1,  118,  30
3, 2,  484,  51
3, 3,  664,  75
3, 4, 1004, 108
3, 5, 1231, 115
3, 6, 1372, 139
3, 7, 1582, 140
4, 1,  118,  32
4, 2,  484,  62
4, 3,  664, 112
4, 4, 1004, 167
4, 5, 1231, 179
4, 6, 1372, 209
4, 7, 1582, 214
5, 1,  118,  30
5, 2,  484,  49
5, 3,  664,  81
5, 4, 1004, 125
5, 5, 1231, 142
5, 6, 1372, 174
5, 7, 1582, 177
